"A1","X","L1","A2","Y"
1,-0.502192350531457,-1.20500675686321,1,9.09148032929408
0,0.131531165327303,-0.794870948008679,1,1.9517552965042
0,-0.07891708981887,-0.779327668505213,0,-4.03617359192761
0,0.886784809417845,-0.578644615245852,0,-0.103220905095693
1,0.116971270510841,0.909288399234718,1,5.5622068869487
1,0.318630087617032,1.51817369282609,1,0.591571079386657
1,-0.58179068471591,0.79743311053926,1,5.19325111566453
1,0.714532710891568,0.784285191659983,1,2.34811596024449
1,-0.825259425862769,-1.17264319684465,0,-0.344382773517672
0,-0.359862131395465,0.842191829303302,0,-4.92241687618195
0,0.0898861437775305,1.09117593265178,1,0.882943203630682
1,0.0962744602851301,-0.271743547146893,1,1.92838171743062
0,-0.201633952183354,-0.201633726155555,0,-5.85923760818747
1,0.739840499878431,0.191077582098345,1,0.0729631869678329
0,0.123379501088869,-0.238352509069988,0,-1.72263733429762
1,-0.0293167092293474,0.855342909052082,1,5.70730135079279
0,-0.388854246903499,-0.277702977293968,1,0.100044978644205
1,0.510856257369925,0.00881661370665654,1,3.3823490917197
1,-0.913814185369186,0.0120092069397568,0,1.90669591864602
1,2.31029682277906,0.868745665796332,0,0.361888427989016
1,-0.438089981127317,-0.584666279550504,0,4.13015588852465
1,0.764060616410438,1.28838191313664,0,-0.624103110465055
1,0.261961291392879,0.751530584606957,0,-0.675854547075613
1,0.773404596778447,0.329502653984385,1,8.62546249422868
0,-0.814379124875453,0.614341857333062,0,-2.62875082206339
0,-0.438450569074609,2.81539062766031,1,-2.81517655943383
0,-0.720221550216076,0.86579710475448,1,2.3000361105589
1,0.230944532252633,1.83000917629381,1,3.58560092232862
0,-1.15772946239983,1.15014437756317,0,-1.7939420210181
0,0.247075992728822,0.0631903881226832,0,-0.949747053644829
1,-0.0911135614728243,-0.842948983991903,0,4.24732421664845
0,1.75737562202805,1.09888798041066,1,3.48324926624671
0,-0.137929611731146,0.576676030205474,1,0.958310933696784
0,-0.111193495282428,0.728465581579813,0,-1.66861227140936
0,-0.690014320569417,0.82608130828439,1,2.55443496553743
1,-0.221794230019693,0.37933770790592,1,5.08529363379493
1,0.182907683594697,0.201295987224938,1,4.32565613989608
1,0.417323286226749,-0.22609507632023,0,3.317776352874
0,1.06540232704555,-2.35931014872215,0,0.905404620904271
1,0.970202017340543,-1.22831533711605,0,0.343651430849786
0,-0.101629238461632,2.02907408105071,1,-1.19110514100486
0,1.40320348855821,-2.39352748636517,0,-2.26503032688776
0,-1.77677563229464,0.998527194065408,0,-5.27926453283155
1,0.62286739099101,0.991364386414433,0,1.22173707332912
1,-0.522283351277008,-0.389533700267294,1,4.0210103474162
1,1.3222309556847,1.30866710152594,0,-0.186316788167848
1,-0.363440326844656,0.110024051348449,0,-1.73669671423916
0,1.3190657425688,0.0339235262926337,0,-1.94704841626616
1,0.0437790676442974,1.9341211836173,0,-5.90767666754649
0,-1.87865588200619,0.193232050492683,1,-2.91056492604613
0,-0.447062182019648,0.204244600291032,1,3.56242049240194
1,-1.7385979472079,2.19545473952612,1,-0.185957495726516
1,0.178864848627153,0.443500546546945,0,-0.778991163291267
1,1.89746570014621,-0.250321334033522,0,-1.92981030911749
0,-2.2719254860193,1.84572545457619,1,-0.928158666762224
1,0.980464138734608,-0.0732193119833267,1,4.76624446655186
1,-1.39882561629245,2.22543472973339,1,6.54110267347431
1,1.82487242294358,-0.111161654046907,0,3.45059597877526
0,1.38129872992883,0.556399864556555,0,-1.9182085456971
0,-0.838851875034352,-2.25845897620416,0,-1.71566335021203
1,-0.261995774514031,-0.798279854531724,0,1.4833758452798
1,-0.0688440280170231,3.8679199164157,0,-3.75774456131435
1,-0.378883556530106,1.4825542526277,0,-0.285628547317173
1,2.58195892772433,1.19462465966173,1,6.32839115644055
0,0.129834137345586,0.502970058323863,1,0.263100142270021
1,-0.713024980216354,0.67905650030829,0,-0.979284625117781
0,0.637994242919495,-2.55397773544076,0,1.19543035613642
0,0.201691591615917,0.330976136104227,0,-1.48854731498502
0,-0.0699169482402035,-0.236559852445493,0,-0.95398615515458
0,-0.0924898754027451,1.6481758860654,1,2.27012122360625
0,0.448903273111376,-0.245767312628154,0,-2.06934202604522
0,-1.06435567068737,1.85880307867251,1,-4.49152387028807
0,-1.16241932214223,1.22108001989078,0,-1.26161821575232
0,1.64852174670445,0.656909803428157,1,-1.83103192101844
1,-2.06209601933992,0.229331250231363,1,5.11679113607016
1,0.0127497209649686,-1.3509459940789,0,2.63969836479127
1,-1.08752834931043,1.21338497124883,0,-0.338159977896593
1,0.270539493204341,0.952152963518808,1,4.26794945307229
1,1.00845187327274,-1.17788758281425,0,3.60495023549457
1,-2.07440475425644,0.884298333843753,1,5.62863629046549
0,0.896822271785611,-0.269375060809181,0,0.761488320938013
0,-0.0499957668760446,0.313679952129498,0,-4.7499651328392
