"A","X","Y"
0,-0.502192350531457,-1.78702099588948
1,NA,NA
1,-0.07891708981887,6.35986768156045
1,0.886784809417845,4.84672726874314
0,0.116971270510841,-0.906866680940899
1,NA,NA
0,-0.58179068471591,-2.59571756812521
1,NA,NA
0,NA,NA
0,-0.359862131395465,0.248740320434386
1,NA,NA
0,0.0962744602851301,0.268984878605818
1,NA,NA
0,NA,NA
1,NA,NA
0,-0.0293167092293474,-0.387033256902243
1,-0.388854246903499,4.93819013467131
1,0.510856257369925,3.49791203852169
0,NA,NA
1,2.31029682277906,6.37810559435629
0,NA,NA
1,NA,NA
0,0.261961291392879,-0.168298972824775
0,0.773404596778447,1.34573463568862
0,-0.814379124875453,-0.637385371387811
0,NA,NA
0,-0.720221550216076,-1.30732646137629
0,NA,NA
0,-1.15772946239983,-0.504058033880849
1,0.247075992728822,5.06041957610276
0,NA,NA
1,NA,NA
0,-0.137929611731146,0.864306238152418
1,-0.111193495282428,4.24773987917644
0,-0.690014320569417,-0.438977313922992
0,-0.221794230019693,0.353241210756913
0,0.182907683594697,-0.452114513252601
0,NA,NA
1,NA,NA
1,0.970202017340543,3.56497673723398
1,-0.101629238461632,4.19740577920456
1,NA,NA
0,NA,NA
1,0.62286739099101,4.49457253148728
0,NA,NA
1,1.3222309556847,7.62811590993539
0,-0.363440326844656,-1.35170493619506
1,NA,NA
0,NA,NA
0,-1.87865588200619,-1.48264292215845
0,NA,NA
0,-1.7385979472079,-5.05938015228933
0,NA,NA
1,NA,NA
0,NA,NA
1,0.980464138734608,6.32485827962852
0,NA,NA
1,NA,NA
1,1.38129872992883,4.16339681069787
0,-0.838851875034352,-2.63241063133059
0,-0.261995774514031,1.43011111544607
0,-0.0688440280170231,-1.7413401748139
0,NA,NA
1,NA,NA
1,NA,NA
0,-0.713024980216354,-2.17534841634672
1,NA,NA
1,0.201691591615917,5.77853860492289
1,NA,NA
1,NA,NA
1,0.448903273111376,6.78284711401622
0,-1.06435567068737,-1.83209773293768
0,-1.16241932214223,-0.609224653804773
1,1.64852174670445,4.93986384696298
0,-2.06209601933992,-2.58882412195181
0,0.0127497209649686,2.0765139545559
0,-1.08752834931043,-0.663800089790495
1,NA,NA
1,1.00845187327274,7.36959366901728
0,-2.07440475425644,-2.18035961757693
1,NA,NA
0,-0.0499957668760446,1.06990195161204
0,-1.34534931044337,-1.10618644072165
0,NA,NA
1,NA,NA
0,NA,NA
1,NA,NA
0,NA,NA
1,1.72717575450325,6.78347964848288
1,NA,NA
0,NA,NA
1,NA,NA
0,-0.892957402100141,0.343512177274287
0,-1.15757124007267,-2.23973807140795
1,NA,NA
1,NA,NA
0,NA,NA
1,0.413519848829901,4.8523763651453
0,-1.17868314072463,-3.73604519834534
0,NA,NA
1,-0.332923350974514,3.22078919399485
1,NA,NA
0,NA,NA
1,0.842875632136583,3.91152253270086
0,-1.45799372254209,-1.21517271827788
0,-0.40030592004892,-0.763073868877872
0,-0.776417285336318,1.65631161498112
1,NA,NA
1,NA,NA
0,-0.107433808339981,0.299194431828596
1,0.1725935062242,5.12733887173298
1,NA,NA
1,NA,NA
0,NA,NA
0,-0.330975434616041,0.268384814702998
1,0.128386063376134,6.40261920992425
1,NA,NA
0,-0.255573691563754,-1.63103274821266
0,-0.302541010692695,-0.590267874081455
1,NA,NA
0,-0.773713354547255,-0.435818040608299
1,0.424002401562653,5.99013994048131
0,NA,NA
1,0.415035678899142,7.14180549277309
0,NA,NA
0,-0.518749504748059,-1.55619611260649
0,NA,NA
0,NA,NA
0,NA,NA
1,NA,NA
0,-0.417794433072629,-0.353512448535422
0,-0.850380776291204,1.44809826588177
1,0.689046194372418,4.38906821330538
0,NA,NA
1,NA,NA
1,NA,NA
0,-0.150926188360773,0.514147662338547
1,NA,NA
0,NA,NA
0,NA,NA
0,-0.408425029487769,0.367631296554367
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,NA,NA
0,-0.516111246673415,-0.978546572458353
1,0.418995990571031,7.11729873762765
0,NA,NA
1,1.03468645455601,4.98285681090595
1,NA,NA
1,NA,NA
0,-0.0242033206185982,-1.04904440841232
1,NA,NA
0,-0.337124536017291,-0.558020766181471
0,-0.113353704977051,-1.09068520049969
1,-0.098882914912717,5.23639731611055
1,0.264086822816072,6.85145344450014
1,NA,NA
0,-0.242269498838383,2.64506351144845
1,NA,NA
0,NA,NA
1,0.794680268160145,5.63080983491392
0,0.00673778670590812,0.716349399245468
0,NA,NA
0,-0.252489782563555,-1.20871828459148
0,NA,NA
0,0.202542145247935,0.427330592593279
0,NA,NA
1,NA,NA
1,0.20141352460328,5.07490534424268
0,-0.0910706437284358,1.55130359958002
1,NA,NA
0,-0.0546849392054481,-0.573171983543971
0,NA,NA
0,NA,NA
1,-0.372600851616052,5.16507188536949
1,1.2683088405183,7.76049521670594
1,2.16860031716614,8.04539300422108
0,-1.23972284217052,-0.743837604264666
1,0.589873888233546,5.34251996831453
1,NA,NA
0,-0.523707786444744,0.350485776590535
1,NA,NA
0,NA,NA
0,-0.0931983511755847,-0.624940331908893
0,-0.295196700913778,-0.295184767429352
0,-1.08581523089479,-0.267636849399827
0,NA,NA
0,NA,NA
1,-0.250816863757787,4.42442462658764
1,0.953895336223853,7.63390406527413
0,-0.26597250667334,-3.14670806507997
1,1.89527594663337,7.51741405769899
0,-0.429990827248603,-2.63354315945021
1,1.57554699441894,6.30285522408819
1,NA,NA
0,-1.08545290694571,-1.39173557668925
1,NA,NA
