"imputation","A","X"
1,0,-0.502192350531457
1,1,-0.388854246903499
1,1,-0.07891708981887
1,1,0.886784809417845
1,0,0.116971270510841
1,1,1.72717575450325
1,0,-0.58179068471591
1,1,0.415035678899142
1,0,-0.359862131395465
1,0,-0.359862131395465
1,1,2.16860031716614
1,0,0.0962744602851301
1,1,0.264086822816072
1,0,-0.502192350531457
1,1,0.842875632136583
1,0,-0.0293167092293474
1,1,-0.388854246903499
1,1,0.510856257369925
1,0,0.182907683594697
1,1,2.31029682277906
1,0,-0.150926188360773
1,1,0.794680268160145
1,0,0.261961291392879
1,0,0.773404596778447
1,0,-0.814379124875453
1,0,-0.814379124875453
1,0,-0.720221550216076
1,0,-0.137929611731146
1,0,-1.15772946239983
1,1,0.247075992728822
1,0,-0.429990827248603
1,1,0.842875632136583
1,0,-0.137929611731146
1,1,-0.111193495282428
1,0,-0.690014320569417
1,0,-0.221794230019693
1,0,0.182907683594697
1,0,-1.15757124007267
1,1,0.62286739099101
1,1,0.970202017340543
1,1,-0.101629238461632
1,1,0.424002401562653
1,0,-1.7385979472079
1,1,0.62286739099101
1,0,-0.0242033206185982
1,1,1.3222309556847
1,0,-0.363440326844656
1,1,1.89527594663337
1,0,0.116971270510841
1,0,-1.87865588200619
1,0,-0.0293167092293474
1,0,-1.7385979472079
1,0,-0.255573691563754
1,1,0.415035678899142
1,0,-1.17868314072463
1,1,0.980464138734608
1,0,-0.0499957668760446
1,1,0.842875632136583
1,1,1.38129872992883
1,0,-0.838851875034352
1,0,-0.261995774514031
1,0,-0.0688440280170231
1,0,-0.0688440280170231
1,1,1.00845187327274
1,1,-0.332923350974514
1,0,-0.713024980216354
1,1,0.970202017340543
1,1,0.201691591615917
1,1,0.201691591615917
1,1,1.3222309556847
1,1,0.448903273111376
1,0,-1.06435567068737
1,0,-1.16241932214223
1,1,1.64852174670445
1,0,-2.06209601933992
1,0,0.0127497209649686
1,0,-1.08752834931043
1,1,0.980464138734608
1,1,1.00845187327274
1,0,-2.07440475425644
1,1,0.794680268160145
1,0,-0.0499957668760446
1,0,-1.34534931044337
1,0,0.773404596778447
1,1,0.1725935062242
1,0,-1.17868314072463
1,1,1.38129872992883
1,0,-0.330975434616041
1,1,1.72717575450325
